Month,Industry_Demand_Index,Inflation_Rate,Industry_Growth
1/1/2022,106.2355875,0.060434873,0.03
1/2/2022,103.8504508,0.063397099,0.03
1/3/2022,103.9652821,0.062459256,0.03
1/4/2022,102.8676785,0.057484468,0.03
1/5/2022,105.945796,0.063019365,0.03
1/6/2022,101.5410686,0.057219882,0.03
1/7/2022,100.9576878,0.058169028,0.03
1/8/2022,102.4680962,0.064713149,0.03
1/9/2022,104.0644179,0.06286961,0.03
1/10/2022,107.9318761,0.060978167,0.03
1/11/2022,106.7004554,0.060474982,0.03
1/12/2022,106.2859856,0.059376729,0.03
1/1/2023,108.3833794,0.043102315,0.04
1/2/2023,105.2128518,0.049423043,0.04
1/3/2023,102.9663767,0.043433592,0.04
1/4/2023,104.3361345,0.043668393,0.04
1/5/2023,106.8541265,0.046897419,0.04
1/6/2023,105.7504458,0.04929951,0.04
1/7/2023,104.2202498,0.045747291,0.04
1/8/2023,105.2929515,0.047509261,0.04
1/9/2023,103.5751563,0.047849852,0.04
1/10/2023,103.2690855,0.049345047,0.04
1/11/2023,108.8536965,0.045446799,0.04
1/12/2023,108.325317,0.045411598,0.04
1/1/2024,104.3331318,0.031864597,0.025
1/2/2024,105.8929923,0.03248638,0.025
1/3/2024,103.7631842,0.031171849,0.025
1/4/2024,104.5389496,0.030775057,0.025
1/5/2024,105.4342718,0.02966813,0.025
1/6/2024,100.9185102,0.030834148,0.025
1/7/2024,103.5235276,0.030872362,0.025
1/8/2024,104.8475593,0.030142175,0.025
1/9/2024,102.6525312,0.031540749,0.025
1/10/2024,103.3234777,0.032249104,0.025
1/11/2024,105.9193168,0.032556079,0.025
1/12/2024,101.1401121,0.029223997,0.025
