Month,Department,Actual_Expense,Budget_Expense
1/1/2022,Marketing,32399.27317,31112.36242
1/1/2022,Payroll,154966.9233,129027.4467
1/1/2022,Logistics,31345.37852,26656.02023
1/1/2022,Admin,16600.14087,15449.83046
1/1/2022,Tech_SaaS,21354.40135,19591.36766
1/2/2022,Marketing,36983.07467,32285.89378
1/2/2022,Payroll,114024.4572,123698.4909
1/2/2022,Logistics,27726.01203,25666.67017
1/2/2022,Admin,17750.83848,15621.17748
1/2/2022,Tech_SaaS,21771.52547,18281.90781
1/3/2022,Marketing,39314.1205,34144.3772
1/3/2022,Payroll,138209.7964,135357.8354
1/3/2022,Logistics,24798.28844,25724.80554
1/3/2022,Admin,17943.18065,16141.13011
1/3/2022,Tech_SaaS,18239.2003,19536.8263
1/4/2022,Marketing,38281.20616,33216.41519
1/4/2022,Payroll,127012.1464,121328.2239
1/4/2022,Logistics,24588.83498,26683.19317
1/4/2022,Admin,17957.97473,15470.38201
1/4/2022,Tech_SaaS,18989.82455,19576.14381
1/5/2022,Marketing,37674.55466,32105.03787
1/5/2022,Payroll,147742.8791,122531.4915
1/5/2022,Logistics,25483.58541,25662.22623
1/5/2022,Admin,16258.12486,15480.12242
1/5/2022,Tech_SaaS,22984.0186,18896.31807
1/6/2022,Marketing,30361.21984,30273.6778
1/6/2022,Payroll,131824.7781,130673.8972
1/6/2022,Logistics,27709.84454,26745.13666
1/6/2022,Admin,16929.189,15283.24021
1/6/2022,Tech_SaaS,21586.19268,20194.68156
1/7/2022,Marketing,32493.35161,30828.3824
1/7/2022,Payroll,144125.2815,121073.609
1/7/2022,Logistics,30912.21207,26003.84937
1/7/2022,Admin,19814.06369,16312.34769
1/7/2022,Tech_SaaS,18281.18917,20232.66094
1/8/2022,Marketing,34447.09852,30272.50025
1/8/2022,Payroll,147721.8798,129385.7289
1/8/2022,Logistics,26508.09647,27206.48854
1/8/2022,Admin,15223.98623,16730.91501
1/8/2022,Tech_SaaS,22397.29084,20126.47551
1/9/2022,Marketing,30157.06293,32993.31567
1/9/2022,Payroll,131327.2698,124308.8219
1/9/2022,Logistics,24254.22657,26697.91391
1/9/2022,Admin,19110.47848,15799.16221
1/9/2022,Tech_SaaS,20822.08314,18886.40137
1/10/2022,Marketing,36316.80577,33028.11843
1/10/2022,Payroll,136050.2686,125630.4241
1/10/2022,Logistics,28226.11085,27600.6044
1/10/2022,Admin,15496.15351,15684.38824
1/10/2022,Tech_SaaS,22570.74206,20403.25613
1/11/2022,Marketing,43251.55574,39984.67245
1/11/2022,Payroll,129753.8972,131265.272
1/11/2022,Logistics,29956.67295,28250.81697
1/11/2022,Admin,17872.51884,16769.66224
1/11/2022,Tech_SaaS,17231.9986,18414.51992
1/12/2022,Marketing,40002.67284,38554.36634
1/12/2022,Payroll,128078.4537,135942.2656
1/12/2022,Logistics,32877.61196,27540.18812
1/12/2022,Admin,18877.4915,15954.69544
1/12/2022,Tech_SaaS,17258.66704,18483.95149
1/1/2023,Marketing,32786.05031,30733.5926
1/1/2023,Payroll,148703.1369,129667.8397
1/1/2023,Logistics,25661.70252,27422.14865
1/1/2023,Admin,15604.34932,16672.25638
1/1/2023,Tech_SaaS,24207.12689,20064.91651
1/2/2023,Marketing,36088.392,32162.99869
1/2/2023,Payroll,134695.4623,125157.2774
1/2/2023,Logistics,26291.16866,27644.6615
1/2/2023,Admin,16406.21272,15913.68258
1/2/2023,Tech_SaaS,18827.11159,19988.0726
1/3/2023,Marketing,32751.41014,33416.84685
1/3/2023,Payroll,131786.3837,129004.0887
1/3/2023,Logistics,26956.92059,27986.57896
1/3/2023,Admin,15486.424,15915.30169
1/3/2023,Tech_SaaS,19565.75818,19828.74053
1/4/2023,Marketing,40260.97268,33668.43853
1/4/2023,Payroll,114713.9077,126876.5519
1/4/2023,Logistics,31455.44657,28097.55
1/4/2023,Admin,17376.78759,15893.78054
1/4/2023,Tech_SaaS,17241.32188,18140.89299
1/5/2023,Marketing,29655.16165,32386.38655
1/5/2023,Payroll,155954.2227,130578.9194
1/5/2023,Logistics,29388.40618,27226.5393
1/5/2023,Admin,18812.88187,16509.63812
1/5/2023,Tech_SaaS,18600.14352,19313.84082
1/6/2023,Marketing,31195.95319,29814.41928
1/6/2023,Payroll,119697.6058,123059.4505
1/6/2023,Logistics,27073.75835,26539.61625
1/6/2023,Admin,15698.20884,15918.38982
1/6/2023,Tech_SaaS,21278.89077,19361.41998
1/7/2023,Marketing,33133.40022,30633.94261
1/7/2023,Payroll,152956.7114,126387.9064
1/7/2023,Logistics,26130.36274,27270.10784
1/7/2023,Admin,17567.20629,16688.60332
1/7/2023,Tech_SaaS,23248.2265,19940.31882
1/8/2023,Marketing,29100.06961,29853.21226
1/8/2023,Payroll,153586.7324,133982.6154
1/8/2023,Logistics,24467.76278,25278.34942
1/8/2023,Admin,15977.17856,16151.89879
1/8/2023,Tech_SaaS,22312.68163,18369.00738
1/9/2023,Marketing,33747.40232,31651.60754
1/9/2023,Payroll,119931.3447,129762.7939
1/9/2023,Logistics,31130.02655,26165.46883
1/9/2023,Admin,17796.59737,16813.29168
1/9/2023,Tech_SaaS,21248.10924,20051.22771
1/10/2023,Marketing,38933.48909,33799.35579
1/10/2023,Payroll,127313.7354,132665.717
1/10/2023,Logistics,26363.37033,24833.99144
1/10/2023,Admin,20433.62768,16893.96032
1/10/2023,Tech_SaaS,18578.88077,19371.36798
1/11/2023,Marketing,37889.70977,35782.8931
1/11/2023,Payroll,125016.5631,124052.3603
1/11/2023,Logistics,25674.35752,27648.75037
1/11/2023,Admin,15703.9086,15076.07428
1/11/2023,Tech_SaaS,17378.40409,18880.47937
1/12/2023,Marketing,39875.86663,38406.82415
1/12/2023,Payroll,124648.6137,135318.826
1/12/2023,Logistics,23974.20057,25217.53637
1/12/2023,Admin,17305.13634,15553.23525
1/12/2023,Tech_SaaS,24086.48041,20232.89543
1/1/2024,Marketing,28724.37066,31130.93442
1/1/2024,Payroll,132083.6643,127782.8724
1/1/2024,Logistics,28505.4046,24540.62591
1/1/2024,Admin,16372.00275,15740.50982
1/1/2024,Tech_SaaS,22737.21582,19357.12916
1/2/2024,Marketing,33302.32779,33099.78344
1/2/2024,Payroll,121059.6857,120373.7106
1/2/2024,Logistics,25831.49594,27730.6815
1/2/2024,Admin,18210.09257,16586.15302
1/2/2024,Tech_SaaS,20721.40065,17636.33506
1/3/2024,Marketing,30367.37773,32091.31158
1/3/2024,Payroll,144944.424,122904.825
1/3/2024,Logistics,26954.61148,26901.60956
1/3/2024,Admin,15972.25032,16272.67928
1/3/2024,Tech_SaaS,22700.8109,18937.20707
1/4/2024,Marketing,33533.64304,31107.29668
1/4/2024,Payroll,125371.1261,129891.9011
1/4/2024,Logistics,31013.91249,25965.7237
1/4/2024,Admin,17976.14512,15986.72704
1/4/2024,Tech_SaaS,21695.18994,19932.2004
1/5/2024,Marketing,39999.76423,32851.94919
1/5/2024,Payroll,143568.827,128286.1672
1/5/2024,Logistics,26276.35949,25068.49541
