Month,Category,Region,Actual_Volume,Actual_SalePrice,Actual_Revenue,Actual_COGS,Budget_Volume,Budget_SalePrice,Budget_Revenue,Budget_COGS
1/1/2022,Electronics,North,549,161.2431343,88522.48075,68717.41083,523,159.1006894,83209.66055,59647.44727
1/1/2022,Electronics,South,351,156.1370779,54804.11435,43352.10145,339,156.3524324,53003.4746,41793.96739
1/1/2022,Electronics,East,611,165.8446561,101331.0849,82436.70188,642,161.0560247,103397.9678,83356.86491
1/1/2022,Electronics,West,704,174.7602522,123031.2175,94802.47575,670,175.0326315,117271.8631,88712.94167
1/1/2022,Furniture,North,579,307.915954,178283.3374,134801.7668,546,322.6963189,176192.1901,128065.4439
1/1/2022,Furniture,South,494,268.0120134,132397.9346,104396.974,457,245.516783,112201.1698,93290.33113
1/1/2022,Furniture,East,594,270.0161085,160389.5685,125346.5171,569,248.2895784,141276.7701,122003.4315
1/1/2022,Furniture,West,473,282.8734316,133799.1331,103075.9835,502,263.395071,132224.3257,104345.5556
1/1/2022,Office Supplies,North,623,18.97883019,11823.81121,9424.913007,596,17.56639711,10469.57268,8973.248008
1/1/2022,Office Supplies,South,365,21.45294149,7830.323643,6023.397417,350,19.93116948,6975.909318,5888.8358
1/1/2022,Office Supplies,East,750,19.87080286,14903.10215,11651.32653,782,19.32710191,15113.79369,12261.09254
1/1/2022,Office Supplies,West,382,19.61244343,7491.953389,5784.804836,374,20.13920556,7532.062881,5721.448487
1/2/2022,Electronics,North,469,175.733733,82419.12079,61252.51247,488,174.9524635,85376.80221,58950.34534
1/2/2022,Electronics,South,660,151.9391353,100279.8293,80303.33859,665,143.9166697,95704.58537,73596.4592
1/2/2022,Electronics,East,397,147.1673806,58425.4501,48410.14988,368,148.0723782,54490.63516,41971.17424
1/2/2022,Electronics,West,460,170.6896204,78517.22537,60090.02318,489,176.0350582,86081.14348,63129.74761
1/2/2022,Furniture,North,610,280.4664371,171084.5267,128551.0472,597,266.681962,159209.1313,117013.5957
1/2/2022,Furniture,South,375,285.6609589,107122.8596,85412.16817,367,275.5263503,101118.1706,80545.47936
1/2/2022,Furniture,East,336,279.1065284,93779.79354,74672.657,330,274.3444548,90533.67008,72850.98941
1/2/2022,Furniture,West,363,270.4332324,98167.26336,76081.11106,340,267.9797417,91113.11218,66908.82841
